county,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
anderson,7802.0,7.0,67.70785695975391,95.23954114329659,11.411561138169699,42.916367598051785,98.08423481158677
andrews,4201.0,1.0,52.3,93.4,20.2,27.0,94.1
angelina,15616.0,7.0,69.82373847336065,93.66758452868852,18.844006147540984,32.00170978483607,94.98034707991802
aransas,2913.0,1.0,63.2,93.1,23.199999999999996,28.300000000000004,91.6
archer,2104.0,3.0,31.596768060836503,96.08279467680609,6.798051330798479,34.39805133079848,100.0
armstrong,297.0,1.0,27.3,95.3,9.4,55.0,95.0
atascosa,9018.0,5.0,65.92317587048126,92.65460190729652,24.778931026835217,21.956176535817253,94.24198270126415
austin,6263.0,3.0,56.50760019160146,94.83282771834584,13.260146894459522,17.29725371227846,96.46128053648413
bailey,1328.0,1.0,86.4,94.8,13.3,25.3,97.6
bandera,2453.0,2.0,51.60334284549531,94.34953118630249,15.992906644924581,8.5958418263351,93.64243783122707
bastrop,21439.0,4.0,68.6828396846868,91.6128504127991,28.53752040673539,15.03658286300667,95.75295955968096
baylor,593.0,1.0,59.4,95.1,13.0,26.1,95.7
bee,5075.0,5.0,80.1696157635468,92.1351330049261,25.76599014778325,24.11138601969733,95.88892625510448
bell,77207.0,12.0,55.91331744530936,93.1806416516637,21.304008703874004,23.872268058595726,91.62322069242427
bexar,352880.0,42.0,61.71844196327363,92.3420762487281,24.81445783815498,17.88313366178712,88.10211766747156
blanco,1802.0,2.0,38.803995560488346,94.56093229744728,14.678135405105438,25.182463928967817,99.26881243063262
borden,249.0,1.0,29.3,95.5,6.3,0.0,100.0
bosque,2801.0,8.0,62.86394144948233,95.17254551945733,12.040199928596929,13.97379507318815,97.56408425562299
bowie,17420.0,13.0,65.9255051664753,94.15135476463833,17.54625717566016,26.67259236826166,93.34353119321624
brazoria,74478.0,8.0,50.65197239453261,94.61255538548296,14.04280190123258,25.64874215104944,97.64245626773157
brazos,31020.0,4.0,60.793675048355894,94.344609929078,15.444558349451967,18.3028877288046,94.68426617326372
brewster,1091.0,4.0,54.21585701191567,93.47855178735107,16.430797433547205,7.457486136783734,91.49805914972274
briscoe,201.0,1.0,51.2,96.6,7.1,76.2,100.0
brooks,1179.0,1.0,85.2,90.1,37.7,11.9,86.7
brown,6098.0,7.0,58.052951787471294,94.41033125614955,15.703000983929158,13.657789439160382,96.95833060019679
burleson,3088.0,3.0,65.18607512953368,93.76188471502591,19.011690414507772,39.65404792746114,97.32098445595855
burnet,7196.0,2.0,62.28132295719845,94.28813229571985,15.248443579766537,33.907198443579766,96.79708171206227
caldwell,8432.0,3.0,76.48932637571157,91.98472485768501,26.755360531309297,18.12998102466793,89.37843927893738
calhoun,3502.0,1.0,65.8,93.3,19.600000000000005,52.1,98.8
callahan,2602.0,4.0,48.145465026902386,94.9511145272867,12.797886241352805,25.363604919292847,97.45687932359724
cameron,84066.0,10.0,82.82802321985106,92.440201746247,25.276881259962416,40.12008540908334,94.54270454166965
camp,2242.0,1.0,75.7,95.2,10.9,67.8,100.0
carson,1071.0,3.0,28.08216619981326,95.00046685340803,13.184126984126985,52.59906629318394,96.99010270774976
cass,5265.0,7.0,60.0075403608737,94.26279202279201,17.507369420702755,40.24714150047484,98.63082621082621
castro,1524.0,3.0,69.57906824146981,94.39947506561681,14.31476377952756,46.63300524934383,96.8257874015748
chambers,10957.0,3.0,37.20527516656019,94.84336953545679,11.537263849593868,42.875960573149584,99.22793647896322
cherokee,8015.0,5.0,80.11777916406739,94.60104803493451,14.482245789145352,33.99006862133499,94.77733000623832
childress,977.0,1.0,57.1,94.7,16.5,13.4,94.3
clay,1760.0,4.0,51.609545454545454,95.07159090909092,12.333352272727275,62.979034090909096,96.30460227272728
cochran,665.0,2.0,65.87639097744362,95.15729323308271,11.431879699248121,24.35593984962406,96.56902255639098
coke,501.0,2.0,43.70558882235529,94.7241516966068,15.612774451097803,38.65768463073852,97.74491017964071
coleman,1216.0,3.0,53.21669407894737,93.7624177631579,19.517269736842106,15.119572368421052,93.38873355263158
collin,249800.0,16.0,24.723519215372296,94.91054683746997,11.775001200960768,21.572785236244137,97.67149320722959
collingsworth,534.0,1.0,63.3,96.6,6.0,10.5,97.4
colorado,3643.0,3.0,64.9475706835026,94.63368103211639,15.113834751578368,54.548970628602795,96.76458962393632
comal,39924.0,3.0,31.225503456567477,94.09775323113915,16.116779380823566,26.105740907724677,97.32534565674783
comanche,2253.0,4.0,56.84460719041278,95.35974256546827,10.689214380825566,39.17727474478473,95.33417665335108
concho,519.0,2.0,75.1300578034682,94.74450867052023,13.451637764932562,22.967244701348747,97.95606936416185
cooke,6775.0,8.0,48.528088560885614,94.74271586715868,13.925579335793358,21.762695783132532,99.2792921686747
coryell,11174.0,5.0,55.462976552711645,93.47155002684805,19.54777161267228,35.462018972615,91.18657597995345
cottle,153.0,1.0,68.0,94.9,11.2,83.3,100.0
crane,1233.0,1.0,54.7,93.8,17.4,3.7,97.5
crockett,618.0,1.0,64.1,95.4,12.3,14.700000000000001,100.0
crosby,889.0,3.0,82.26197975253093,93.2748031496063,22.603824521934758,15.290663667041619,94.34049493813274
culberson,381.0,1.0,78.5,90.5,40.8,25.0,100.0
dallam,2048.0,2.0,70.32890625,94.287109375,13.414892578125,34.44716796875,98.306884765625
dallas,484359.0,44.0,74.41209103165214,93.45591947295291,19.449684841202497,27.731179712744236,91.12489123810813
dawson,2105.0,4.0,67.93847980997624,92.68099762470308,25.18669833729216,12.38289786223278,95.73515439429929
deaf smith,4097.0,2.0,79.5592140590676,92.70334391017818,22.044081034903588,12.6,94.0
delta,1043.0,2.0,69.9816874400767,94.12962607861938,16.61706615532119,60.35647171620326,98.64813039309684
denton,147313.0,15.0,36.569726364950824,94.99864843702123,11.940428414824297,23.271347683796844,96.90849211642795
dewitt,4262.0,6.0,56.39561238854998,94.64645706241201,15.060980760206474,36.06093077825577,61.70204846365226
dickens,280.0,2.0,60.71714285714285,94.82,10.94857142857143,9.01142857142857,68.25714285714285
dimmit,1842.0,1.0,76.5,89.7,34.6,45.9,83.7
donley,494.0,2.0,54.84412955465587,94.5012145748988,13.726720647773279,34.70485829959514,97.64595141700404
duval,2344.0,4.0,87.70401023890786,91.18306313993173,29.779479522184303,49.49267764298093,92.31572790294628
eastland,2508.0,5.0,58.05275119617225,94.40582137161086,16.185446570972886,19.972009569377988,98.48022328548645
ector,35188.0,2.0,72.27224622030236,92.24168466522679,25.901187904967603,37.559935205183585,88.22948164146868
edwards,436.0,2.0,70.38853211009173,94.40206422018349,14.176834862385322,3.9708715596330273,100.0
el paso,160002.0,16.0,74.42320845989424,92.97733528330895,20.898900013749827,28.172022991693243,89.48803083206231
ellis,45543.0,11.0,53.14626397031377,94.63301275717455,13.872298706716728,21.14700612607865,96.75555189601037
erath,13861.0,9.0,59.263581271192564,91.39511579251136,29.98945242046028,22.21354303189166,76.72627785058977
falls,2355.0,4.0,79.00390658174096,94.24114649681528,17.050743099787685,21.114207650273226,97.9771402550091
fannin,5513.0,8.0,56.838908035552336,94.8442408851805,14.025612189370579,31.840359151097406,98.24384182840559
fayette,3749.0,5.0,53.00186716457722,95.28580954921313,11.89221125633502,32.426993865030674,96.7239263803681
fisher,568.0,2.0,47.208450704225356,94.8774647887324,13.832394366197182,26.601408450704227,97.75915492957746
floyd,1062.0,2.0,72.840395480226,94.26318267419963,16.36864406779661,67.60668549905839,97.2831450094162
foard,189.0,1.0,58.2,96.8,3.6,64.3,100.0
fort bend,133325.0,4.0,46.51333433339584,94.77581548846801,13.294012375773486,20.045890118132384,94.24457603600226
franklin,1606.0,1.0,57.29999999999999,94.7,14.199999999999998,62.70000000000001,95.5
freestone,3509.0,4.0,55.01587346822457,94.24730692504987,15.99504132231405,25.163151587777115,95.92669263031755
frio,2787.0,2.0,82.2627915321134,90.69052744886976,34.63789020452099,26.322461428058844,95.45683530678149
gaines,3753.0,3.0,62.53812949640288,93.68001598721024,18.059792166266984,54.400959232613914,94.15123900879297
galveston,80569.0,10.0,48.05195546674278,93.76556616068214,17.718030508011765,19.104079399034877,96.48761380030844
garza,818.0,2.0,71.03227383863081,92.70660146699267,26.50220048899756,0.0,97.98728606356967
gillespie,3628.0,3.0,58.07861080485115,95.07254685777288,11.288919514884235,23.47161862527716,97.74151884700665
glasscock,293.0,1.0,6.1,96.4,6.5,61.900000000000006,100.0
goliad,1238.0,1.0,44.6,94.7,13.8,29.6,95.9
gonzales,3868.0,3.0,75.51509824198551,92.63684074457083,25.649172699069286,45.751008273009305,94.59935367114788
gray,3529.0,4.0,62.43128364975914,92.44978747520544,25.122187588552,32.83477011494253,91.82830459770115
grayson,25745.0,13.0,52.82439308603612,94.09277141192464,16.549069722276172,29.837277141192462,96.71435618566713
gregg,22861.0,8.0,68.76087222781157,95.25446393421109,12.938077949346049,27.78064389134334,97.54201478500504
grimes,4936.0,4.0,63.163371150729326,93.97429092382495,16.839201782820098,21.417524311183143,96.25
guadalupe,26579.0,4.0,44.18094360209188,93.36960382256669,19.81360848790398,21.484833891418038,95.0058166221453
hale,5750.0,5.0,74.15431304347827,93.35346086956523,20.865234782608695,39.63271304347826,95.34737391304348
hall,511.0,2.0,65.37788649706458,94.82583170254404,10.796673189823874,33.56692759295498,97.979843444227
hamilton,1445.0,2.0,53.28622837370243,95.21363321799309,11.693217993079582,31.022422145328715,97.79764705882353
hansford,1223.0,3.0,55.60065412919052,96.23385118560915,6.285118560915781,27.992313982011446,99.25296803652968
hardeman,620.0,2.0,76.76677419354839,95.20951612903227,11.86516129032258,70.87354838709678,100.0
hardin,11120.0,5.0,48.74923561151079,93.9546762589928,17.470773381294965,24.42635791366906,95.54158273381294
harris,876839.0,57.0,67.36239537703044,93.41406279403698,19.28819791903084,26.630113869707507,91.28267016378881
harrison,31902.0,6.0,57.72356592063194,97.58944266817127,6.769863958372516,21.98881477519428,74.71600541169808
hartley,357.0,2.0,66.93669467787116,95.2016806722689,10.413725490196079,45.14229691876751,65.76750700280112
haskell,793.0,3.0,71.49432534678436,95.4720050441362,13.012862547288778,7.781588902900378,85.8625472887768
hays,44792.0,8.0,42.5073584568673,93.3260693873906,20.019188694409713,25.004776402137875,92.9840019845297
hemphill,757.0,1.0,48.5,95.5,8.5,34.7,100.0
henderson,10178.0,8.0,64.807015130674,94.05722145804677,17.08634309294557,39.384553901488665,97.7267659106804
hidalgo,264491.0,21.0,84.24050345758458,93.34474518981743,22.90519185908027,31.30839111077286,95.82138323376078
hill,6409.0,12.0,63.791964425027295,95.12939616164769,12.2447495709159,29.364355499527267,97.93479357075323
hockley,4575.0,6.0,58.44485245901638,94.8495737704918,11.908546448087431,26.825770491803276,98.11584699453552
hood,9337.0,4.0,51.12746064046267,93.87504551783229,15.764549641212378,35.71469923598407,94.53593027009576
hopkins,6703.0,7.0,61.052782336267356,94.15100701178577,16.14706847680143,45.43852006564225,95.65836192749515
houston,3012.0,5.0,65.3227091633466,94.4148406374502,16.15265604249668,25.02065073041168,96.68957503320053
howard,5145.0,3.0,58.466647230320696,93.92106899902818,17.83113702623907,43.1877922717204,72.75895043731778
hudspeth,564.0,3.0,82.77464539007092,95.36702127659575,8.792907801418439,31.3145390070922,100.0
hunt,17025.0,10.0,65.59807342143905,93.5179618208517,19.846455212922173,23.333509544787074,96.1695859030837
hutchinson,3624.0,3.0,53.47455849889624,94.24906181015453,15.052814569536425,19.535347682119205,98.15929911699779
irion,333.0,1.0,28.5,96.7,4.5,21.7,100.0
jack,1608.0,3.0,60.80242537313434,94.87817164179104,13.756343283582087,7.937873134328357,98.8875
jackson,3382.0,3.0,51.44725014784151,94.98988764044945,12.100236546422236,22.754878769958605,98.4053222945003
jasper,5777.0,5.0,61.31087069413189,93.58687900294271,19.269759390687206,38.68151289596676,96.80017310022502
jeff davis,713.0,2.0,48.12959326788219,94.01669004207572,13.4671809256662,11.225525946704067,95.46704067321178
jefferson,40764.0,9.0,71.44668825434206,91.78413060543616,26.119671769208125,21.705056585001866,88.06339510011192
jim hogg,962.0,1.0,82.6,92.3,26.6,50.0,97.6
jim wells,7270.0,5.0,82.66883081155433,91.94679504814304,27.71050894085282,42.3866592085023,91.7386239686757
johnson,38295.0,9.0,52.13190494842668,94.09998172085129,16.957064890977936,29.01569395482439,96.3622613918266
jones,2556.0,5.0,57.6524647887324,94.88607198748043,14.227582159624411,13.348161189358374,97.67519561815337
karnes,2373.0,4.0,62.27079646017698,93.41925832279814,20.02528445006321,30.732954066582387,72.36005056890014
kaufman,42158.0,7.0,59.93477157360406,93.69053797618483,18.672678969590585,29.523217420181226,93.75032734000665
kendall,12158.0,3.0,22.239480177660802,94.86685310083895,11.145920381641718,31.30742720842244,98.07618029281133
kenedy,126.0,1.0,43.7,95.5,6.1,,
kent,169.0,1.0,36.1,95.9,3.5999999999999996,0.0,100.0
kerr,6706.0,5.0,57.42020578586341,94.29346853563973,14.9838055472711,25.396911196911198,95.38926640926641
kimble,588.0,1.0,61.9,93.4,19.0,16.7,100.0
king,92.0,1.0,30.4,95.7,3.3,0.0,100.0
kinney,518.0,1.0,58.5,94.6,13.3,22.0,97.8
kleberg,4438.0,4.0,68.68206399278955,92.52945020279407,22.80376295628662,46.890791214607034,89.26118020640381
knox,699.0,3.0,64.22374821173105,95.63848354792562,8.756795422031473,19.556223175965663,100.0
la salle,1155.0,1.0,86.0,93.1,19.6,42.6,94.8
lamar,8504.0,4.0,60.94019285042332,94.95518579492004,14.26837958607714,25.547471777986832,97.34250940733773
lamb,2624.0,5.0,69.01516768292683,95.00705030487805,12.119169207317071,36.634717987804876,100.0
lampasas,3936.0,2.0,51.59283536585366,94.84801829268292,13.467911585365853,48.03140243902439,99.17202743902439
lavaca,2514.0,6.0,35.02052505966587,95.70178997613365,9.21801909307876,29.667877461706787,97.1029207232267
lee,3082.0,3.0,53.32673588578845,94.8594094743673,13.680304996755355,46.29467878001298,97.8265087605451
leon,3286.0,5.0,55.92291539866099,94.59166159464395,14.302678027997565,42.923797930614725,97.95267802799756
liberty,24350.0,7.0,78.61429158110884,93.08926488706364,22.71829158110883,22.132704246337223,93.15913003890408
limestone,3618.0,3.0,73.66346047540078,93.88200663349916,17.723383084577115,20.952791597567717,92.23084577114426
lipscomb,611.0,3.0,60.57119476268412,94.56808510638298,12.291980360065468,17.54697217675941,100.0
live oak,1627.0,2.0,64.49065765212046,93.29164105716042,20.358512599877077,29.641241548862936,97.0861708666257
llano,1959.0,1.0,67.4,94.5,15.1,17.2,100.0
lubbock,50946.0,12.0,56.24795665999292,93.64294547167589,18.629959172457113,32.79646792991358,94.21960863182028
lynn,1695.0,4.0,42.882772861356926,95.2673156342183,11.931622418879055,35.199528023598816,98.0627138643068
madison,2707.0,2.0,69.93572220169929,95.3,11.223014407092721,84.14011821204286,99.01588474325823
marion,1125.0,1.0,73.2,93.3,21.9,19.7,97.3
martin,1302.0,2.0,43.825115207373265,94.10721966205837,16.06774193548387,60.38110599078341,98.77764976958525
mason,697.0,1.0,47.8,96.20000000000002,7.6,23.1,100.0
matagorda,6930.0,5.0,62.59215007215007,93.83310245310244,18.179062049062047,26.786724386724387,93.8746957924058
maverick,13777.0,1.0,78.29999999999998,92.1,25.300000000000004,19.800000000000004,93.79999999999998
mcculloch,1212.0,3.0,62.529207920792075,93.73366336633664,20.198267326732672,8.822524752475248,96.61633663366337
mclennan,54596.0,20.0,61.96605428969155,94.15766539673236,15.783729577258407,23.68891581749747,94.31224639676857
mcmullen,280.0,1.0,22.5,96.1,2.0,40.0,100.0
medina,14872.0,5.0,56.519277837547065,93.77902097902098,18.674199838622915,35.88228886498118,94.35110274341044
menard,263.0,1.0,58.2,93.0,23.1,3.7,100.0
midland,33390.0,3.0,57.278969751422586,92.63993111710094,23.763366277328544,29.505541569353028,88.36211289393066
milam,4259.0,6.0,61.80619863817797,94.80986146982859,13.731345386240902,35.20707878787879,97.46232727272726
mills,767.0,3.0,53.327118644067795,95.28161668839635,11.811342894393741,47.52407407407408,95.70185185185184
mitchell,1263.0,3.0,59.682185273159135,94.03491686460806,18.625178147268407,40.0027711797308,97.50039588281868
montague,3225.0,7.0,49.78275968992248,94.97863565891473,12.353922480620152,29.361659046374918,96.46773350751144
montgomery,131548.0,7.0,48.001439018457134,94.16518761212637,16.209718125703166,29.086080457845632,96.39168023866421
moore,4961.0,2.0,68.54632130618826,94.77613384398308,13.14033460995767,13.811187260632938,99.03126385809313
morris,1870.0,2.0,72.0827807486631,93.97363636363637,19.94080213903743,30.297486631016046,97.67909090909092
motley,178.0,1.0,53.39999999999999,96.6,4.2,33.3,100.0
nacogdoches,10379.0,9.0,68.67021871085846,93.96245303015704,17.545495712496386,27.95236026071499,97.3226150503654
navarro,10589.0,7.0,71.02065350835774,93.5285484937199,19.622920011332514,22.14450845216734,93.18140523184437
newton,1747.0,3.0,70.07418431597023,93.88511734401831,16.863537492844877,31.206639954207212,96.080251860332
nolan,14448.0,4.0,80.74120985603544,98.78318798449614,3.5921926910299002,62.95664451827243,96.66168327796235
nueces,56438.0,15.0,66.08124667777031,92.19058790176832,25.169910344094404,27.73584527272399,94.09867386944659
ochiltree,1790.0,1.0,61.3,95.1,11.5,12.6,99.4
oldham,843.0,4.0,40.429181494661925,95.96393831553975,6.001067615658362,55.9632265717675,97.60818505338078
orange,14985.0,5.0,55.69247247247247,93.17552886219552,21.348008008008005,41.15432098765432,95.0512178845512
palo pinto,4710.0,6.0,65.91114649681529,94.18496815286623,16.082377919320596,32.2477479428324,97.85686444348202
panola,3974.0,4.0,50.534121791645696,94.32249622546553,15.561701056869651,31.25052843482637,95.19084046300956
parker,26862.0,9.0,31.76094855185764,94.52324100960466,12.99730474275929,32.06873420109414,96.03197509903792
parmer,2160.0,4.0,72.67726851851853,95.48861111111111,10.087546296296296,14.263564814814815,99.41203703703704
pecos,14005.0,3.0,68.9486469118172,82.84381292395574,49.19214566226348,14.667811495894325,71.85484469832204
polk,7029.0,6.0,65.13082942097027,95.25744771660264,11.850149381135296,26.124797268459243,92.65731967562952
potter,32585.0,4.0,67.77940770293078,93.50820622986038,18.719677765843176,23.869142243363513,96.53776277428264
presidio,1277.0,2.0,93.97862176977291,93.9961628817541,17.442051683633515,0.0,14.343774471417385
rains,1708.0,1.0,61.7,92.6,26.3,30.8,98.4
randall,11501.0,1.0,33.3,94.8,11.3,21.1,95.3
reagan,852.0,1.0,61.60000000000001,94.1,14.5,20.800000000000004,100.0
real,515.0,2.0,65.64058252427185,90.22543689320388,36.144271844660196,18.53980582524272,83.69631067961164
red river,1973.0,4.0,72.52909275215407,93.82017232640649,18.328231120121643,23.875722250380132,92.20775468829196
reeves,3052.0,2.0,64.17588466579294,90.8578636959371,32.17765399737877,21.853145478374838,97.23872870249016
refugio,1195.0,3.0,56.688451882845186,93.75213389121339,18.095983263598328,19.415230125523014,95.09966527196653
roberts,177.0,1.0,31.599999999999998,95.10000000000001,11.1,50.0,100.0
robertson,3401.0,5.0,60.984210526315785,94.88882681564246,13.576595119082622,5.6400764481035,96.64745663040283
rockwall,29126.0,2.0,32.368619103206754,94.53132596305706,14.118066332486439,22.76566298152853,97.90121540891299
runnels,1954.0,4.0,61.390378710337764,94.13132036847493,17.297748208802457,33.67011258955987,99.22579324462642
rusk,7698.0,8.0,63.70210444271239,94.58871135359833,15.656625097427902,40.65958690568979,98.85526110678099
sabine,1423.0,2.0,59.192410400562196,93.02094167252284,25.183766690091357,19.7767392832045,96.79529163738582
san augustine,973.0,2.0,79.06300102774922,93.9774922918808,17.306269270298046,46.35323741007194,100.0
san jacinto,3546.0,2.0,72.15093062605753,93.65386350817822,21.09836435420192,30.224139875916528,94.84929498025944
san patricio,13811.0,7.0,63.15961190355514,93.12948374484107,21.128549706755486,27.078184056187098,94.58087756136413
san saba,979.0,3.0,65.90694586312563,93.67548518896832,19.32216547497446,11.60602655771195,98.09662921348314
schleicher,413.0,1.0,62.2,95.3,11.1,17.1,100.0
scurry,2848.0,3.0,63.38679775280899,93.89831460674158,18.160393258426968,31.85252808988764,96.22794943820224
shackelford,589.0,2.0,48.005602716468594,93.75331069609507,18.64872665534805,31.25568760611205,100.0
shelby,5161.0,6.0,71.52561519085448,94.47982949040885,15.630013563262933,30.373320197044336,97.22774384236453
sherman,626.0,2.0,61.34281150159744,96.38370607028754,7.47635782747604,42.1,97.4
smith,40339.0,10.0,60.241661915268104,93.90746919854234,17.06442152755398,34.87289223828057,97.35400480924167
somervell,2168.0,2.0,37.72767527675276,95.17186346863468,10.539160516605167,20.700691881918818,97.76692804428045
starr,15454.0,3.0,93.88885725378543,94.28223760838617,18.121405461369225,40.921030154005436,97.34547689918467
stephens,1367.0,1.0,66.3,94.1,16.9,18.8,94.0
sterling,355.0,1.0,45.4,94.1,15.1,82.4,94.6
stonewall,181.0,1.0,51.9,95.4,8.8,0.0,100.0
sutton,641.0,1.0,47.4,95.4,10.5,34.5,98.3
swisher,1316.0,3.0,65.64794832826749,93.94103343465045,18.48905775075988,25.160486322188454,96.40889057750759
tarrant,335744.0,26.0,60.9602828345406,93.76803587572391,18.580229564055056,21.780785295569167,92.50999915740819
taylor,39438.0,6.0,46.40835488615041,94.26398651047212,16.38703534662001,14.078107409097825,93.62676352756225
terrell,114.0,1.0,51.8,94.9,11.8,0.0,100.0
terry,2085.0,3.0,80.49520383693046,94.36009592326138,17.022110311750602,20.27625899280575,100.0
throckmorton,314.0,2.0,57.023566878980894,94.62006369426751,15.89968152866242,18.93407643312102,100.0
titus,6963.0,3.0,72.65510555794916,94.5,13.492244722102543,41.7350710900474,98.81373517786561
tom green,20878.0,7.0,52.757802471501094,93.69120126448892,18.31222339304531,16.028800651403394,94.54321774116295
travis,193666.0,23.0,57.10543306517407,92.35344562287649,22.75209484369998,15.566590378327883,92.21315528497107
trinity,2255.0,4.0,76.20771618625278,93.91445676274945,18.27410199556541,27.618802660753882,94.38181818181818
tyler,3367.0,5.0,61.844668844668846,94.16118206118206,16.782773982773982,31.287080487080488,94.75503415503415
upshur,7405.0,7.0,57.836948008102645,94.5705874409183,14.058203916272788,42.91977042538824,95.13597569209993
upton,781.0,2.0,44.31267605633803,93.0416133162612,21.15864276568502,23.124199743918055,92.31754161331627
uvalde,5062.0,4.0,79.36317661003557,88.0589095219281,40.95768470960095,10.77489134729356,92.4450809956539
val verde,9920.0,2.0,71.91499999999999,90.97629032258065,30.406129032258065,40.37080645161291,92.3383870967742
van zandt,10713.0,8.0,56.28155511994773,94.47527303276394,14.910351908895734,40.10242695790161,99.01981704471206
victoria,13789.0,3.0,70.51672347523389,91.94703024149685,27.209369787511786,25.007354990100467,97.33299846007186
walker,12482.0,4.0,62.978769427976275,95.55591251402018,14.133496234577791,23.102781237027813,87.78347862183479
waller,14332.0,3.0,65.86898548702204,93.04632291375943,20.479346915992185,23.178439854870224,95.79973485905667
ward,2320.0,2.0,58.88241379310345,93.51844827586207,21.94051724137931,14.20396551724138,96.50982758620691
washington,5460.0,2.0,57.460842490842495,93.88479853479853,16.532967032967033,17.950659340659342,95.9240293040293
webb,61479.0,4.0,82.49526992956945,93.75776281331837,18.583804225833212,56.410172579254706,95.71601197156753
wharton,7690.0,5.0,66.26342002600781,94.36618985695709,15.902782834850456,28.87344603381015,96.20668400520155
wheeler,984.0,4.0,59.759247967479666,95.6441056910569,10.649390243902438,20.746341463414634,98.94430894308944
wichita,19340.0,5.0,61.83421923474664,93.91039296794209,18.589358841778697,19.51543950361944,95.52825232678386
wilbarger,2101.0,3.0,68.63379343169919,94.99857210851975,12.366825321275583,15.613422179914329,96.31603998096145
willacy,3887.0,4.0,79.84926678672497,90.45034731155133,33.90977617700025,36.72675585284281,96.10123488551582
williamson,135714.0,13.0,27.70433779860589,94.03857523910577,16.16327939637768,29.309991930050565,97.08532823964048
wilson,9423.0,4.0,41.51475114082564,94.49204075135307,14.471389154197176,32.608776398174676,93.85179879019421
winkler,1771.0,2.0,60.38379446640316,92.8596837944664,26.564709203839637,5.551101072840203,99.01931112365895
wise,10520.0,7.0,47.040760456273766,94.98954372623572,11.353640684410646,22.8054752851711,96.3079752851711
wood,6343.0,6.0,61.08429765095381,95.02762099952704,12.934652372694309,50.95593567712439,97.70438278417153
yoakum,1890.0,2.0,60.34761904761905,94.2104761904762,15.723809523809523,18.35809523809524,100.0
young,3060.0,3.0,51.316405228758164,94.34153594771242,16.43650326797386,23.181405228758173,97.80228758169935
zapata,3282.0,1.0,88.90000000000002,91.8,26.600000000000005,57.5,96.40000000000002
zavala,2070.0,2.0,82.09855072463768,90.53115942028985,32.85434782608696,36.50797101449275,90.97753623188406
