district_id,district_name,county_number,county,econ_disadv_pct,attendance_rate,chronic_absenteeism_rate,ccmr_rate,graduation_rate,student_count
001902,CAYUGA ISD,001,anderson,45.9,94.9,11.5,82.4,92.1,575
001903,ELKHART ISD,001,anderson,51.7,95.8,7.2,29.0,100.0,1187
001904,FRANKSTON ISD,001,anderson,50.4,95.3,11.4,84.1,97.8,811
001906,NECHES ISD,001,anderson,49.0,96.1,5.4,36.8,95.0,337
001907,PALESTINE ISD,001,anderson,80.7,95.2,12.1,36.6,98.3,3182
001908,WESTWOOD ISD,001,anderson,80.2,94.5,16.5,27.4,98.9,1387
001909,SLOCUM ISD,001,anderson,46.7,96.3,4.4,55.6,100.0,323
002901,ANDREWS ISD,002,andrews,52.3,93.4,20.2,27.0,94.1,4201
003801,PINEYWOODS COMMUNITY ACADEMY,003,angelina,55.2,94.7,14.0,8.8,100.0,1061
003902,HUDSON ISD,003,angelina,50.6,94.5,13.3,37.1,97.8,2774
003903,LUFKIN ISD,003,angelina,86.8,93.2,21.0,29.3,92.6,6850
003904,HUNTINGTON ISD,003,angelina,47.1,93.7,19.6,60.5,95.3,1560
003905,DIBOLL ISD,003,angelina,68.9,93.7,19.9,25.4,95.4,1575
003906,ZAVALLA ISD,003,angelina,72.6,93.0,25.7,11.8,100.0,303
003907,CENTRAL ISD,003,angelina,62.2,93.6,19.4,32.7,95.3,1493
004901,ROCKPORT-FULTON ISD,004,aransas,63.2,93.1,23.2,28.3,91.6,2913
005901,ARCHER CITY ISD,005,archer,42.7,94.6,15.6,17.9,100.0,483
005902,HOLLIDAY ISD,005,archer,20.5,96.4,4.3,43.8,100.0,1116
005904,WINDTHORST ISD,005,archer,45.5,96.8,3.9,29.4,100.0,505
006902,CLAUDE ISD,006,armstrong,27.3,95.3,9.4,55.0,95.0,297
007901,CHARLOTTE ISD,007,atascosa,65.6,94.4,18.4,0.0,96.9,422
007902,JOURDANTON ISD,007,atascosa,49.9,94.5,15.2,22.7,96.2,1548
007904,LYTLE ISD,007,atascosa,72.3,92.8,25.3,15.2,93.5,1820
007905,PLEASANTON ISD,007,atascosa,64.4,92.9,22.4,33.2,94.9,3392
007906,POTEET ISD,007,atascosa,76.0,90.1,38.2,12.3,91.5,1836
008901,BELLVILLE ISD,008,austin,42.5,95.2,11.6,13.8,98.9,2306
008902,SEALY ISD,008,austin,67.1,94.4,15.3,17.3,96.2,3091
008903,BRAZOS ISD,008,austin,56.0,95.4,10.4,26.6,90.9,866
009901,MULESHOE ISD,009,bailey,86.4,94.8,13.3,25.3,97.6,1328
010901,MEDINA ISD,010,bandera,58.0,94.8,13.2,22.2,91.3,243
010902,BANDERA ISD,010,bandera,50.9,94.3,16.3,7.1,93.9,2210
011901,BASTROP ISD,011,bastrop,67.1,92.1,27.8,9.9,98.8,13281
011902,ELGIN ISD,011,bastrop,80.0,89.9,33.1,22.9,90.2,5941
011904,SMITHVILLE ISD,011,bastrop,46.4,93.2,21.0,28.0,92.6,1842
011905,MCDADE ISD,011,bastrop,54.9,93.7,19.4,8.7,91.3,375
012901,SEYMOUR ISD,012,baylor,59.4,95.1,13.0,26.1,95.7,593
013801,ST MARY'S ACADEMY CHARTER SCHOOL,013,bee,83.7,94.9,11.5,,,282
013901,BEEVILLE ISD,013,bee,82.7,90.5,33.6,15.0,95.5,3012
013902,PAWNEE ISD,013,bee,83.2,94.7,13.4,,,630
013903,PETTUS ISD,013,bee,68.2,94.4,16.0,57.1,100.0,377
013905,SKIDMORE-TYNAN ISD,013,bee,72.4,94.3,15.3,43.5,95.4,774
014801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),014,bell,66.5,78.0,79.4,9.7,27.5,1602
014803,PRIORITY CHARTER SCHOOLS,014,bell,59.3,93.5,20.5,0.0,100.0,504
014804,ORENDA CHARTER SCHOOL,014,bell,12.9,94.9,12.2,1.8,95.6,1984
014901,ACADEMY ISD,014,bell,37.4,94.4,15.5,31.0,95.5,1820
014902,BARTLETT ISD,014,bell,99.2,93.8,19.2,6.1,94.3,391
014903,BELTON ISD,014,bell,42.0,94.0,16.6,39.4,97.8,13654
014905,HOLLAND ISD,014,bell,36.4,96.1,6.7,15.6,97.8,646
014906,KILLEEN ISD,014,bell,61.9,93.2,21.9,20.1,89.7,42854
014907,ROGERS ISD,014,bell,44.0,95.5,11.6,10.9,98.4,891
014908,SALADO ISD,014,bell,21.1,94.5,14.2,5.6,98.3,2421
014909,TEMPLE ISD,014,bell,71.5,92.6,24.8,34.2,96.9,8712
014910,TROY ISD,014,bell,49.3,95.6,9.9,20.0,96.5,1728
015801,POR VIDA ACADEMY,015,bexar,78.3,79.7,76.4,4.9,55.3,175
015802,GEORGE GERVIN ACADEMY,015,bexar,100.0,91.3,39.8,31.7,93.1,865
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,015,bexar,52.1,94.0,19.1,4.3,98.0,303
015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,015,bexar,51.8,92.6,26.9,0.0,94.4,2186
015807,SOUTHWEST PREPARATORY SCHOOL,015,bexar,75.4,90.0,41.3,2.2,94.4,839
015808,INSPIRE ACADEMIES,015,bexar,48.8,93.0,24.8,0.0,79.5,805
015809,BEXAR COUNTY ACADEMY,015,bexar,59.5,90.5,42.4,,,153
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,015,bexar,94.6,76.5,79.7,0.0,25.0,93
015815,HERITAGE ACADEMY,015,bexar,87.6,95.2,10.7,0.0,91.9,589
015822,JUBILEE ACADEMIES,015,bexar,86.9,92.3,28.1,45.6,96.5,5140
015825,LIGHTHOUSE PUBLIC SCHOOLS,015,bexar,88.7,88.3,46.9,0.0,,462
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,015,bexar,56.7,94.3,15.5,,-1.0,5602
015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,015,bexar,80.5,93.3,20.9,33.1,98.0,4803
015830,SOMERSET ACADEMIES OF TEXAS,015,bexar,73.5,91.7,32.0,1.6,94.4,2604
015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,015,bexar,64.4,94.2,17.4,,-1.0,6084
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,015,bexar,39.3,86.0,53.5,0.0,53.3,61
015834,BASIS TEXAS,015,bexar,2.8,95.6,8.9,0.0,98.6,7092
015835,GREAT HEARTS TEXAS,015,bexar,25.4,95.2,11.6,0.0,96.8,12926
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,015,bexar,12.8,94.9,10.7,,,486
015838,COMPASS ROSE PUBLIC SCHOOLS,015,bexar,73.1,90.8,36.4,0.0,,3975
015839,PROMESA ACADEMY CHARTER SCHOOL,015,bexar,59.7,89.8,42.1,,,248
015840,SAN ANTONIO STEAM ACADEMY,015,bexar,0.0,91.9,26.8,,,139
015841,THE GATHERING PLACE,015,bexar,61.4,90.7,35.0,,,555
015842,ROYAL PUBLIC SCHOOLS,015,bexar,84.9,91.7,31.7,,,469
015843,PRELUDE PREPARATORY CHARTER SCHOOL,015,bexar,91.4,93.3,30.1,,,162
015844,ESSENCE PREPARATORY CHARTER SCHOOL,015,bexar,99.5,89.3,41.8,,,365
015845,CELEBRATE DYSLEXIA SCHOOLS,015,bexar,27.9,,,,,61
015901,ALAMO HEIGHTS ISD,015,bexar,19.6,95.2,10.2,31.2,97.2,4735
015904,HARLANDALE ISD,015,bexar,86.5,90.0,36.2,14.5,89.9,11531
015905,EDGEWOOD ISD,015,bexar,93.8,86.0,51.2,40.0,73.8,7838
015906,RANDOLPH FIELD ISD,015,bexar,7.6,96.3,4.7,7.3,100.0,1426
015907,SAN ANTONIO ISD,015,bexar,86.9,89.0,37.7,26.7,87.3,44011
015908,SOUTH SAN ANTONIO ISD,015,bexar,91.6,91.0,32.4,11.4,81.4,7467
015909,SOMERSET ISD,015,bexar,81.5,91.7,28.9,20.8,91.9,4236
015910,NORTH EAST ISD,015,bexar,50.8,93.4,20.3,17.5,89.0,56155
015911,EAST CENTRAL ISD,015,bexar,70.1,91.3,31.5,20.9,86.2,11484
015912,SOUTHWEST ISD,015,bexar,82.6,91.8,28.2,33.8,95.9,14811
015913,LACKLAND ISD,015,bexar,13.2,95.2,11.4,20.0,97.2,1010
015914,FT SAM HOUSTON ISD,015,bexar,22.2,95.7,9.2,10.4,98.3,1614
015915,NORTHSIDE ISD,015,bexar,49.9,93.4,19.7,13.5,95.2,99729
015916,JUDSON ISD,015,bexar,71.8,92.3,25.2,19.2,85.8,23505
015917,SOUTHSIDE ISD,015,bexar,87.0,91.3,31.3,13.2,90.8,6086
016901,JOHNSON CITY ISD,016,blanco,30.7,94.5,14.8,21.1,100.0,704
016902,BLANCO ISD,016,blanco,44.0,94.6,14.6,27.8,98.8,1098
017901,BORDEN COUNTY ISD,017,borden,29.3,95.5,6.3,0.0,100.0,249
018901,CLIFTON ISD,018,bosque,59.2,95.1,11.2,13.4,100.0,1000
018902,MERIDIAN ISD,018,bosque,76.1,94.5,16.5,0.0,92.9,380
018903,MORGAN ISD,018,bosque,85.3,94.5,18.8,27.3,100.0,136
018904,VALLEY MILLS ISD,018,bosque,48.7,96.0,7.8,25.0,100.0,669
018905,WALNUT SPRINGS ISD,018,bosque,84.2,94.2,15.6,0.0,75.0,165
018906,IREDELL ISD,018,bosque,69.4,96.7,4.5,10.0,100.0,144
018907,KOPPERL ISD,018,bosque,67.0,93.9,22.0,0.0,100.0,191
018908,CRANFILLS GAP ISD,018,bosque,61.2,95.6,9.1,33.3,100.0,116
019901,DEKALB ISD,019,bowie,66.5,95.1,12.2,32.3,98.5,898
019902,HOOKS ISD,019,bowie,53.5,95.6,10.2,35.5,98.4,912
019903,MAUD ISD,019,bowie,58.3,95.7,9.3,85.3,100.0,448
019905,NEW BOSTON ISD,019,bowie,80.5,94.0,19.5,19.8,95.2,1107
019906,REDWATER ISD,019,bowie,46.4,95.1,11.8,22.5,97.5,1100
019907,TEXARKANA ISD,019,bowie,75.0,93.6,20.9,25.3,88.2,7264
019908,LIBERTY-EYLAU ISD,019,bowie,87.9,91.3,32.8,20.4,95.2,1936
019909,SIMMS ISD,019,bowie,61.3,95.5,9.3,22.9,100.0,480
019910,MALTA ISD,019,bowie,46.2,97.0,2.3,,,223
019911,RED LICK ISD,019,bowie,7.5,96.6,4.8,,,504
019912,PLEASANT GROVE ISD,019,bowie,41.8,95.4,9.5,25.3,98.3,2365
019913,HUBBARD ISD,019,bowie,78.1,95.6,12.2,,,64
019914,LEARY ISD,019,bowie,95.0,96.0,5.9,,,119
020901,ALVIN ISD,020,brazoria,51.1,95.0,12.3,22.2,98.4,29936
020902,ANGLETON ISD,020,brazoria,65.3,94.2,16.8,40.0,98.3,7053
020904,DANBURY ISD,020,brazoria,28.9,95.1,11.3,42.6,96.4,671
020905,BRAZOSPORT ISD,020,brazoria,63.6,92.6,23.3,22.2,91.9,11143
020906,SWEENY ISD,020,brazoria,51.6,93.6,18.5,27.1,100.0,1915
020907,COLUMBIA-BRAZORIA ISD,020,brazoria,63.7,92.1,26.5,27.2,96.4,2861
020908,PEARLAND ISD,020,brazoria,36.8,95.7,8.6,26.7,99.4,20794
020910,DAMON ISD,020,brazoria,74.3,93.9,18.0,,,105
021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,021,brazos,100.0,94.1,14.9,,,300
021805,ARROW ACADEMY,021,brazos,77.3,93.1,24.2,,,454
021901,COLLEGE STATION ISD,021,brazos,40.6,95.0,12.2,16.4,95.9,14268
021902,BRYAN ISD,021,brazos,77.6,93.8,18.1,20.0,93.6,15998
022004,TERLINGUA CSD,022,brewster,73.6,92.9,25.0,0.0,100.0,121
022901,ALPINE ISD,022,brewster,51.1,94.4,15.6,9.0,96.3,903
022902,MARATHON ISD,022,brewster,70.7,95.0,9.6,-1.0,-1.0,58
022903,SAN VICENTE ISD,022,brewster,0.0,-1.0,28.6,,,9
023902,SILVERTON ISD,023,briscoe,51.2,96.6,7.1,76.2,100.0,201
024901,BROOKS COUNTY ISD,024,brooks,85.2,90.1,37.7,11.9,86.7,1179
025901,BANGS ISD,025,brown,68.1,94.3,15.7,15.4,100.0,792
025902,BROWNWOOD ISD,025,brown,60.4,94.3,16.7,11.4,96.0,3388
025904,BLANKET ISD,025,brown,63.0,94.1,19.9,25.0,100.0,165
025905,MAY ISD,025,brown,52.3,93.5,20.2,21.7,100.0,243
025906,ZEPHYR ISD,025,brown,52.7,94.7,15.0,0.0,100.0,220
025908,BROOKESMITH ISD,025,brown,63.4,94.6,13.8,0.0,100.0,227
025909,EARLY ISD,025,brown,43.6,95.0,11.4,21.7,95.3,1063
026901,CALDWELL ISD,026,burleson,61.6,93.8,19.7,29.6,98.4,1920
026902,SOMERVILLE ISD,026,burleson,79.5,92.4,25.0,44.8,94.3,561
026903,SNOOK ISD,026,burleson,63.3,94.9,11.3,66.7,96.7,607
027903,BURNET CISD,027,burnet,58.4,93.9,17.3,26.2,95.3,3206
027904,MARBLE FALLS ISD,027,burnet,65.4,94.6,13.6,40.1,98.0,3990
028902,LOCKHART ISD,028,caldwell,76.0,91.7,28.0,18.7,87.6,6732
028903,LULING ISD,028,caldwell,81.4,93.3,20.7,17.5,97.0,1434
028906,PRAIRIE LEA ISD,028,caldwell,62.4,92.1,27.9,7.1,93.3,266
029901,CALHOUN COUNTY ISD,029,calhoun,65.8,93.3,19.6,52.1,98.8,3502
030901,CROSS PLAINS ISD,030,callahan,68.5,94.6,13.0,7.7,96.0,365
030902,CLYDE CISD,030,callahan,41.6,95.0,12.1,28.4,98.2,1387
030903,BAIRD ISD,030,callahan,65.5,93.9,22.0,0.0,100.0,348
030906,EULA ISD,030,callahan,39.4,95.8,8.2,47.4,94.7,502
031901,BROWNSVILLE ISD,031,cameron,89.3,92.0,28.6,41.1,94.9,36118
031903,HARLINGEN CISD,031,cameron,76.7,93.3,20.6,44.4,96.5,16468
031905,LA FERIA ISD,031,cameron,82.8,93.4,19.4,49.2,97.4,2839
031906,LOS FRESNOS CISD,031,cameron,76.9,92.7,22.9,38.4,92.8,10330
031909,POINT ISABEL ISD,031,cameron,85.5,92.8,22.1,60.1,90.1,1783
031911,RIO HONDO ISD,031,cameron,88.4,92.5,27.1,26.0,91.9,1437
031912,SAN BENITO CISD,031,cameron,84.8,91.4,28.9,22.3,89.6,9066
031913,SANTA MARIA ISD,031,cameron,98.6,94.0,18.4,33.3,89.1,512
031914,SANTA ROSA ISD,031,cameron,89.0,90.6,33.4,30.8,96.3,874
031916,SOUTH TEXAS ISD,031,cameron,57.9,93.7,17.7,49.6,99.4,4639
032902,PITTSBURG ISD,032,camp,75.7,95.2,10.9,67.8,100.0,2242
033901,GROOM ISD,033,carson,24.6,95.2,14.5,9.1,100.0,130
033902,PANHANDLE ISD,033,carson,18.5,94.7,12.9,52.4,97.7,620
033904,WHITE DEER ISD,033,carson,48.0,95.5,13.2,70.6,94.4,321
034901,ATLANTA ISD,034,cass,63.7,94.7,16.1,50.5,100.0,1929
034902,AVINGER ISD,034,cass,75.0,94.2,16.0,50.0,100.0,112
034903,HUGHES SPRINGS ISD,034,cass,48.3,94.6,15.4,46.2,98.5,1090
034905,LINDEN-KILDARE CISD,034,cass,62.8,94.1,18.3,25.6,92.5,616
034906,MCLEOD ISD,034,cass,46.7,93.9,16.3,0.0,100.0,422
034907,QUEEN CITY ISD,034,cass,64.5,93.5,21.0,44.3,98.9,867
034909,BLOOMBURG ISD,034,cass,77.3,93.0,27.0,19.0,100.0,229
035901,DIMMITT ISD,035,castro,79.1,93.7,17.8,49.2,95.5,1075
035902,HART ISD,035,castro,86.4,95.1,10.3,40.0,100.0,206
035903,NAZARETH ISD,035,castro,13.2,96.9,2.3,40.9,100.0,243
036901,ANAHUAC ISD,036,chambers,53.0,94.6,13.8,62.6,100.0,1548
036902,BARBERS HILL ISD,036,chambers,28.8,94.9,10.8,39.1,99.3,7848
036903,EAST CHAMBERS ISD,036,chambers,63.8,94.8,13.0,42.3,98.1,1561
037901,ALTO ISD,037,cherokee,76.9,94.2,16.5,62.9,97.1,502
037904,JACKSONVILLE ISD,037,cherokee,88.1,94.5,15.2,26.6,92.4,4695
037907,RUSK ISD,037,cherokee,64.0,94.7,13.0,37.3,97.7,2053
037908,NEW SUMMERFIELD ISD,037,cherokee,81.4,95.5,11.7,41.4,100.0,526
037909,WELLS ISD,037,cherokee,65.7,94.6,15.0,73.7,100.0,239
038901,CHILDRESS ISD,038,childress,57.1,94.7,16.5,13.4,94.3,977
039902,HENRIETTA ISD,039,clay,45.8,94.6,15.3,81.0,96.9,883
039903,PETROLIA CISD,039,clay,60.7,95.4,9.6,56.0,92.6,509
039904,BELLEVUE ISD,039,clay,41.1,95.6,8.4,23.1,100.0,231
039905,MIDWAY ISD,039,clay,73.0,96.0,10.0,40.0,100.0,137
040901,MORTON ISD,040,cochran,75.3,94.8,16.3,35.7,93.8,368
040902,WHITEFACE CISD,040,cochran,54.2,95.6,5.4,10.3,100.0,297
041901,BRONTE ISD,041,coke,34.9,95.1,14.7,40.0,100.0,232
041902,ROBERT LEE ISD,041,coke,51.3,94.4,16.4,37.5,95.8,269
042901,COLEMAN ISD,042,coleman,45.1,93.2,22.6,2.3,93.3,794
042903,SANTA ANNA ISD,042,coleman,67.6,95.4,9.7,35.3,89.5,259
042905,PANTHER CREEK CISD,042,coleman,69.9,93.9,20.1,45.5,100.0,163
043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,043,collin,2.2,96.6,2.8,0.0,97.7,1445
043802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,043,collin,2.2,94.8,11.5,,,270
043901,ALLEN ISD,043,collin,20.0,95.3,10.1,23.2,98.3,20794
043902,ANNA ISD,043,collin,49.3,94.3,18.0,45.7,92.7,6016
043903,CELINA ISD,043,collin,16.8,95.5,8.0,29.8,98.2,5313
043904,FARMERSVILLE ISD,043,collin,56.6,95.3,11.3,52.9,98.7,2392
043905,FRISCO ISD,043,collin,13.9,95.3,9.7,5.6,98.8,65151
043907,MCKINNEY ISD,043,collin,34.6,94.1,15.3,5.4,98.1,23118
043908,MELISSA ISD,043,collin,17.1,95.4,9.5,36.4,97.9,7707
043910,PLANO ISD,043,collin,36.5,94.1,16.1,21.3,94.5,46432
043911,PRINCETON ISD,043,collin,63.1,94.0,17.5,24.3,97.7,9940
043912,PROSPER ISD,043,collin,6.1,95.5,7.6,38.8,99.1,31577
043914,WYLIE ISD,043,collin,27.5,95.4,9.4,31.2,99.0,19334
043917,BLUE RIDGE ISD,043,collin,53.5,94.5,14.8,59.7,98.6,1045
043918,COMMUNITY ISD,043,collin,53.5,93.8,19.4,55.5,96.8,5255
043919,LOVEJOY ISD,043,collin,3.6,95.8,6.7,39.3,99.2,4011
044902,WELLINGTON ISD,044,collingsworth,63.3,96.6,6.0,10.5,97.4,534
045902,COLUMBUS ISD,045,colorado,59.9,94.5,16.0,57.0,95.6,1625
045903,RICE CISD,045,colorado,77.1,94.1,17.5,45.2,98.7,1299
045905,WEIMAR ISD,045,colorado,54.4,95.9,8.8,65.9,95.9,719
046802,TRINITY CHARTER SCHOOL,046,comal,88.6,100.0,0.0,7.7,47.0,315
046901,NEW BRAUNFELS ISD,046,comal,36.1,93.3,20.9,24.3,97.2,9870
046902,COMAL ISD,046,comal,29.0,94.3,14.7,26.9,97.9,29739
047901,COMANCHE ISD,047,comanche,56.2,95.3,11.0,38.0,94.0,1373
047902,DE LEON ISD,047,comanche,52.6,95.5,9.6,52.8,98.1,639
047903,GUSTINE ISD,047,comanche,80.7,95.9,8.2,0.0,100.0,135
047905,SIDNEY ISD,047,comanche,60.4,94.6,16.4,22.2,90.0,106
048901,EDEN CISD,048,concho,62.9,94.4,14.6,0.0,95.2,221
048903,PAINT ROCK ISD,048,concho,84.2,95.0,12.6,40.0,100.0,298
049901,GAINESVILLE ISD,049,cooke,66.5,93.5,20.0,30.6,98.9,3097
049902,MUENSTER ISD,049,cooke,20.2,96.9,3.6,0.0,100.0,554
049903,VALLEY VIEW ISD,049,cooke,35.7,94.4,13.8,0.0,100.0,847
049905,CALLISBURG ISD,049,cooke,40.8,95.8,10.0,16.9,98.8,1149
049906,ERA ISD,049,cooke,43.4,96.2,6.2,57.5,100.0,498
049907,LINDSAY ISD,049,cooke,8.7,96.9,3.1,3.4,100.0,495
049908,WALNUT BEND ISD,049,cooke,67.1,93.3,27.1,,,73
049909,SIVELLS BEND ISD,049,cooke,59.7,95.4,10.2,,,62
050901,EVANT ISD,050,coryell,80.7,93.7,21.1,30.0,71.4,197
050902,GATESVILLE ISD,050,coryell,48.4,94.2,14.8,39.5,93.1,2656
050904,OGLESBY ISD,050,coryell,50.8,95.4,11.3,7.7,100.0,236
050909,JONESBORO ISD,050,coryell,55.1,97.1,3.1,0.0,95.0,336
050910,COPPERAS COVE ISD,050,coryell,57.4,93.0,22.1,36.6,90.6,7749
051901,PADUCAH ISD,051,cottle,68.0,94.9,11.2,83.3,100.0,153
052901,CRANE ISD,052,crane,54.7,93.8,17.4,3.7,97.5,1233
053001,CROCKETT COUNTY CONSOLIDATED CSD,053,crockett,64.1,95.4,12.3,14.7,100.0,618
054901,CROSBYTON CISD,054,crosby,83.1,93.7,17.6,4.8,90.9,313
054902,LORENZO ISD,054,crosby,81.1,94.2,18.0,37.5,100.0,206
054903,RALLS ISD,054,crosby,82.2,92.4,29.4,11.8,94.1,370
055901,CULBERSON COUNTY-ALLAMOORE ISD,055,culberson,78.5,90.5,40.8,25.0,100.0,381
056901,DALHART ISD,056,dallam,71.2,94.2,13.6,37.3,98.1,1825
056902,TEXLINE ISD,056,dallam,63.2,95.0,11.9,11.1,100.0,223
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,057,dallas,58.6,92.7,32.2,0.0,96.3,348
057803,UPLIFT EDUCATION,057,dallas,80.6,93.3,21.3,3.2,94.9,23383
057804,TEXANS CAN ACADEMIES,057,dallas,84.1,75.4,81.4,3.2,21.3,3437
057806,ADVANTAGE ACADEMY,057,dallas,80.2,94.0,19.6,0.0,90.3,972
057807,LIFE SCHOOL,057,dallas,67.1,94.5,15.1,42.0,100.0,5735
057808,UNIVERSAL ACADEMY,057,dallas,31.2,96.1,8.3,0.0,96.3,2036
057809,NOVA ACADEMY,057,dallas,88.3,92.5,28.6,,,77
057810,ACADEMY OF DALLAS,057,dallas,88.2,93.5,24.7,,,220
057813,TRINITY BASIN PREPARATORY,057,dallas,75.0,94.4,16.2,0.0,,7007
057814,ACADEMY FOR ACADEMIC EXCELLENCE,057,dallas,100.0,81.0,62.5,,0.0,280
057819,JEAN MASSIEU ACADEMY,057,dallas,70.7,94.9,15.2,0.0,71.4,184
057827,NOVA ACADEMY SOUTHEAST,057,dallas,94.9,93.5,21.6,,,235
057828,WINFREE ACADEMY CHARTER SCHOOLS,057,dallas,57.6,79.2,72.3,3.0,51.6,1093
057829,A+ ACADEMY,057,dallas,94.8,95.0,11.6,23.5,98.8,1678
057830,INSPIRED VISION ACADEMY,057,dallas,99.6,94.9,12.5,0.0,95.9,1135
057831,GATEWAY CHARTER ACADEMY,057,dallas,95.1,93.4,22.0,8.6,89.5,511
057833,EDUCATION CENTER INTERNATIONAL ACADEMY,057,dallas,54.8,94.0,15.8,,,221
057834,EVOLUTION ACADEMY CHARTER SCHOOL,057,dallas,70.1,82.0,68.0,27.4,67.2,629
057835,GOLDEN RULE CHARTER SCHOOL,057,dallas,93.6,95.2,10.2,0.0,,1298
057836,ST ANTHONY SCHOOL,057,dallas,90.3,96.6,6.7,,,318
057839,LA ACADEMIA DE ESTRELLAS,057,dallas,88.4,95.9,5.8,,,1024
057840,RICHLAND COLLEGIATE HIGH SCHOOL,057,dallas,45.5,97.4,4.5,49.6,100.0,132
057841,CITYSCAPE SCHOOLS,057,dallas,97.1,94.4,17.5,,,1259
057844,MANARA ACADEMY,057,dallas,58.6,93.1,23.6,0.0,100.0,671
057845,UME PREPARATORY ACADEMY,057,dallas,42.0,95.5,7.7,0.0,98.8,1703
057846,LEGACY PREPARATORY,057,dallas,79.5,95.1,13.3,3.4,93.8,1138
057847,VILLAGE TECH SCHOOLS,057,dallas,54.9,95.3,12.0,13.8,98.3,1335
057848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),057,dallas,73.7,94.2,18.5,1.4,99.1,25496
057850,PIONEER TECHNOLOGY & ARTS ACADEMY,057,dallas,41.9,93.8,18.8,13.2,100.0,2328
057851,BRIDGEWAY PREPARATORY ACADEMY,057,dallas,48.1,90.9,38.6,,,108
057903,CARROLLTON-FARMERS BRANCH ISD,057,dallas,64.0,93.8,17.3,30.4,93.0,24120
057904,CEDAR HILL ISD,057,dallas,64.3,93.5,22.0,28.7,91.1,6249
057905,DALLAS ISD,057,dallas,89.3,93.0,21.4,30.9,85.5,139776
057906,DESOTO ISD,057,dallas,64.6,92.8,24.2,46.4,86.6,5708
057907,DUNCANVILLE ISD,057,dallas,78.1,91.8,25.7,26.9,90.1,11551
057909,GARLAND ISD,057,dallas,72.1,93.7,18.8,49.9,94.3,50898
057910,GRAND PRAIRIE ISD,057,dallas,73.5,93.2,19.4,11.0,93.1,25903
057911,HIGHLAND PARK ISD,057,dallas,0.5,96.0,5.5,14.9,99.1,6327
057912,IRVING ISD,057,dallas,85.3,94.7,16.0,32.6,93.9,30732
057913,LANCASTER ISD,057,dallas,81.8,91.6,29.6,30.9,98.8,6820
057914,MESQUITE ISD,057,dallas,81.2,93.5,18.9,29.9,94.8,37881
057916,RICHARDSON ISD,057,dallas,52.7,94.1,15.8,36.4,91.5,36880
057919,SUNNYVALE ISD,057,dallas,18.2,96.7,3.8,53.2,98.9,2301
057922,COPPELL ISD,057,dallas,9.5,95.9,7.0,23.1,99.4,13222
058902,DAWSON ISD,058,dawson,65.0,92.1,29.1,0.0,87.5,140
058905,KLONDIKE ISD,058,dawson,21.5,95.8,5.5,0.0,100.0,261
058906,LAMESA ISD,058,dawson,77.9,91.7,31.2,8.9,95.1,1475
